reply,label,reply_length,word_count
Send me the details and I’ll review.,neutral,36,7
"This could work for our team, send me the proposal.",positive,51,10
Can u share feature list?,neutral,25,5
Plz send feature roadmap,neutral,24,4
Im excited about oppurtunity!,positive,29,4
Send pricing structure plz,neutral,26,4
"This could be perfect, send proposal!",positive,37,6
"This could be perfect, connect!",positive,31,5
Can u share cost structure?,neutral,27,5
"Im intrested, plz send proposal",positive,31,5
"Not intrested, plz stop.",negative,24,4
Lets discuss in meeting!,positive,24,4
Plz send technical guide,neutral,24,4
We don’t need this solution right now.,negative,38,7
Lets schdule demo next week!,positive,28,5
Dont need this solution,negative,23,4
Id love to learn more!,positive,22,5
No intrest right now,negative,20,4
Not intrested in service,negative,24,4
Were happy w/ setup,negative,19,4
No need for this,negative,16,4
Plz send technical guide,neutral,24,4
Can u provide trial account?,neutral,28,5
Can u share cost structure?,neutral,27,5
Plz send feature list,neutral,21,4
Plz send technical documentation,neutral,32,4
Can u provide demo video?,neutral,25,5
Plz send technical specs,neutral,24,4
Im eager to learn more!,positive,23,5
"Sounds interesting, let’s set up a call.",positive,40,7
No intrest in product,negative,21,4
No need for solution,negative,20,4
Lets discuss in meeting!,positive,24,4
"Please share the details, I’m interested.",positive,41,6
Lets schdule demo next week!,positive,28,5
Doesnt align w/ goals,negative,21,4
Lets discuss how integrates!,positive,28,4
Not intrested in service,negative,24,4
Can u provide feature roadmap?,neutral,30,5
No intrest in product,negative,21,4
Can u share trial account?,neutral,26,5
I am not the right person to contact.,negative,37,8
Not intrested in service,negative,24,4
Not open to vendors,negative,19,4
Lets discuss how integrates!,positive,28,4
Can u provide case study?,neutral,25,5
"This sounds fantastic, schedule!",positive,32,4
Not intrested in service,negative,24,4
Were not intrested in vendors,negative,29,5
Lets discuss how integrates!,positive,28,4
I’ll forward this to my manager.,neutral,32,6
Lets discuss how integrates!,positive,28,4
"This could be game-changer, connect!",positive,36,5
Please remove me from your mailing list.,negative,40,7
Looking forward to demo!,positive,24,4
Lets discuss in meeting!,positive,24,4
Not fit for strategy,negative,20,4
Not fit for strategy,negative,20,4
Id love to explore solution!,positive,28,5
Can u provide demo video?,neutral,25,5
Not good fit for team,negative,21,5
Id love to see in action!,positive,25,6
  We not looking for new solutions.  ,negative,37,6
Plz send pricing guide,neutral,22,4
Plz send technical guide,neutral,24,4
Can u share demo link?,neutral,22,5
We don’t need this solution right now.,negative,38,7
Plz provide pricing structure,neutral,29,4
Can u share feature roadmap?,neutral,28,5
Not relevant to team,negative,20,4
No need for this,negative,16,4
Id love to discuss w/ your team!,positive,32,7
No intrest in product,negative,21,4
"This could streamline, talk!",positive,28,4
Were happy w/ setup,negative,19,4
No need for solution,negative,20,4
Id love to learn more!,positive,22,5
Isnt priority right now,negative,23,4
We don’t need this solution right now.,negative,38,7
Doesnt meet needs,negative,17,3
Were happy w/ provider,negative,22,4
We already have a vendor for this.,negative,34,7
"This sounds great, schdule call!",positive,32,5
Not open to vendors,negative,19,4
No need for solution,negative,20,4
"Yes, I would love to schedule a demo.",positive,37,8
We already have a vendor for this.,negative,34,7
We don’t need this solution right now.,negative,38,7
Can u provide demo link?,neutral,24,5
Not open to vendors,negative,19,4
Can u share pricing guide?,neutral,26,5
Id love to see demo!,positive,20,5
Im eager to see demo!,positive,21,5
Not intrested in offer,negative,22,4
Can u share pricing structure?,neutral,30,5
Not intrested in product,negative,24,4
No need in workflow,negative,19,4
"I’m busy this week, maybe later.",neutral,32,6
Not open to vendors,negative,19,4
Can u provide support terms?,neutral,28,5
Im eager to learn more!,positive,23,5
Can u share API documentation?,neutral,30,5
Were happy w/ setup,negative,19,4
Doesnt meet requirements,negative,24,3
Not intrest right now,negative,21,4
Im eager to explore!,positive,20,4
No need for solution,negative,20,4
Not fit for strategy,negative,20,4
Were happy w/ setup,negative,19,4
